,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
36618,4VbgBIyek7eDZasMZ2OBQn,Spider ZED,Mes Ex,"Mes Ex, Pt. 3",34,97333,FALSE,0.71,0.398,6,-10.816,0,0.296,0.474,0,0.121,0.796,179.984,4,french
90746,0ZhPJLmuj6QrRHLOC3eAQC,Alberto Vazquez,16 Éxitos: Baladas,Cuando Calienta El Sol,30,175194,FALSE,0.43,0.34,7,-8.303,1,0.0322,0.756,9.05E-05,0.439,0.397,83.325,4,rock-n-roll
35805,3l8hqiBze1NeW8VyP8zzbZ,Gabriel Diniz,À Vontade,Aquilo Que Nunca Me Deu,39,170423,FALSE,0.593,0.921,9,-3.745,0,0.0423,0.315,1.59E-06,0.37,0.779,154.79,4,forro
1903,4PqKGf9O8g1MiVDDDFBK6P,Azarel;Leor,Who Am I (Psalm 8:4),Who Am I (Psalm 8:4),16,182608,FALSE,0.733,0.342,9,-15.834,0,0.284,0.102,0.00699,0.146,0.484,184.058,4,afrobeat
82691,6NnewyzybtlYpugv5jNZ8A,Hoodoo Gurus,Purity Of Essence,Crackin' Up,22,233293,FALSE,0.388,0.97,6,-3.877,0,0.0583,0.0824,0,0.446,0.811,152.082,4,power-pop
17860,7ED7AVTiTcsnMPAQ95hUtK,Blackhaine,Hotel,Hotel,15,378499,FALSE,0.378,0.611,5,-8.979,0,0.507,0.125,0.0023,0.078,0.159,160.442,4,club
2145,3y4AS6cTOQBTnEsTbOUtIg,Andrés Calamaro;Juanes;Niño Josele,Música para casa,Enganchate Conmigo,0,225616,FALSE,0.682,0.646,4,-9.274,0,0.0667,0.576,2.13E-05,0.0978,0.785,87.891,4,alt-rock
61230,1tfTPKHBWZvjBlAwo95WyC,Shiritsu Ebisu Chugaku,新未来センセーション,新未来センセーション,25,220998,FALSE,0.631,0.857,6,-3.019,0,0.0507,0.00387,9.98E-05,0.287,0.715,99.993,4,j-idol
93628,4y2jpiSWIFqdY01ZoUZUGK,"Группа ""Загадка""",Коллекция застольной песни. Вот кто-то с горочки спустился,Лодочка (Плыла-качалась лодочка),0,91466,FALSE,0.706,0.162,9,-11.491,1,0.0465,0.957,0,0.0951,0.714,106.716,3,romance
61725,67uDDUtLfRJSkdm34hnONH,AKB48,サムネイル<Type A>,LOVE TRIP,20,350760,FALSE,0.489,0.952,2,-3.169,0,0.083,0.0417,9.05E-05,0.386,0.596,149.992,4,j-idol
79936,2JAUBPBVkimRLc5BGhAkfJ,Regina Spektor,Begin to Hope,Samson,56,189506,FALSE,0.49,0.193,11,-9.544,1,0.0421,0.862,9.74E-06,0.113,0.184,89.154,4,piano
79130,341863z079BT4EFPiSw9DP,Regina Spektor,The Call,The Call,61,187426,FALSE,0.58,0.101,10,-15.661,1,0.0289,0.934,0.000302,0.0768,0.302,91.003,3,piano
79145,2n0U2OG5d6TuW5mKx7YrC0,Regina Spektor,Far,Two Birds,73,195840,FALSE,0.546,0.5,0,-8.881,1,0.0379,0.802,0.00108,0.107,0.449,150.92,4,piano
